node	length	depth	copy_number
211	1	7	1.1
212	2	7	1.1
213	2	0	0.45
214	1	7	1.1
215	2	7	1.1
216	2	0	0.45
217	25	6.64	1.064
218	2	5	0.9
219	2	0	0.45
220	3	5	0.9
221	1	5	0.9
222	1	0	0.45
223	1	5	0.9
224	5	5	0.9
225	5	0	0.45
226	25	2.54	0.654
227	1	2	0.6
228	1	0	0.45
229	1	2	0.6
230	2	2	0.6
231	2	0	0.45
232	1	2	0.6
233	2	1	0.5
234	2	0	0.45
235	2	1	0.5
236	1	1	0.5
237	1	0	0.45
238	1	1	0.5
239	1	1	0.5
240	1	0	0.45
241	1	1	0.5
242	2	0	0.45
243	2	0	0.45
244	1	1	0.5
245	3	1	0.5
246	3	0	0.45
247	1	1	0.5
248	1	1	0.5
249	1	0	0.45
250	2	1	0.5
251	2	0	0.45
252	1	1	0.5
253	5	1	0.5
254	5	0	0.45
255	14	1	0.5
256	1	1	0.5
257	1	0	0.45
258	48	2.177083333	0.6177083333
259	1	4	0.8
260	1	0	0.45
261	10	4	0.8
262	2	0	0.45
263	2	4	0.8
264	2	0	0.45
265	2	4	0.8
266	1	4	0.8
267	2	0	0.45
268	2	4	0.8
269	2	4	0.8
270	1	0	0.45
271	1	4	0.8
272	1	4	0.8
273	1	0	0.45
274	13	4	0.8
275	5	4	0.8
276	1	4	0.8
277	1	4	0.8
278	2	0	0.45
279	2	4	0.8
280	5	4	0.8
281	2	0	0.45
282	2	4	0.8
283	2	4	0.8
284	1	0	0.45
285	1	4	0.8
286	3	0	0.45
287	3	4	0.8
288	1	4	0.8
289	4	0	0.45
290	4	1	0.5
291	1	1	0.5
292	2	0	0.45
293	1	1	0.5
294	3	4	0.8
295	1	1	0.5
296	1	4	0.8
297	1	4	0.8
298	2	3	0.7
299	2	1	0.5
300	1	4	0.8
301	1	4	0.8
302	1	3	0.7
303	1	1	0.5
304	1	4	0.8
305	1	4	0.8
306	2	1	0.5
307	1	0	0.45
308	2	3	0.7
309	1	4	0.8
310	1	3	0.7
311	1	1	0.5
312	1	0	0.45
313	1	4	0.8
314	2	3	0.7
315	1	3	0.7
316	2	1	0.5
317	1	1	0.5
318	2	4	0.8
319	1	3	0.7
320	1	1	0.5
321	1	4	0.8
322	2	3	0.7
323	2	1	0.5
324	1	4	0.8
325	3	3	0.7
326	3	1	0.5
327	1	4	0.8
328	2	3	0.7
329	1	4	0.8
330	4	0	0.45
331	1	4	0.8
332	4	3	0.7
333	4	1	0.5
334	4	4	0.8
335	5	3	0.7
336	5	1	0.5
337	3	5	0.9
338	1	3	0.7
339	1	2	0.6
340	1	5	0.9
341	1	0	0.45
342	1	5	0.9
343	2	5	0.9
344	1	0	0.45
345	1	5	0.9
346	2	5	0.9
347	2	0	0.45
348	2	5	0.9
349	1	5	0.9
350	1	0	0.45
351	4	4	0.8
352	32	3.171875	0.7171875
353	1	2	0.6
354	1	0	0.45
355	40	1.475	0.5475
356	2	1	0.5
357	2	0	0.45
358	2	1	0.5
359	1	1	0.5
360	1	0	0.45
361	1	1	0.5
362	1	1	0.5
363	1	0	0.45
364	1	1	0.5
365	2	1	0.5
366	2	0	0.45
367	1	1	0.5
368	3	1	0.5
369	3	0	0.45
370	2	1	0.5
371	2	1	0.5
372	2	0	0.45
373	1	1	0.5
374	10	1	0.5
375	10	0	0.45
376	31	1	0.5
377	1	1	0.5
378	1	0	0.45
379	7	1	0.5
380	1	1	0.5
381	1	0	0.45
382	116	0.3362068966	0.45
383	1	0	0.45
384	1	0	0.45
385	18	0	0.45
386	3	0	0.45
387	1	0	0.45
388	1	0	0.45
389	1	0	0.45
390	1	0	0.45
391	1	0	0.45
392	1	0	0.45
393	3	0	0.45
394	1	0	0.45
395	1	0	0.45
396	1	0	0.45
397	1	0	0.45
398	1	0	0.45
399	2	0	0.45
400	2	0	0.45
401	104	0	0.45
402	1	0	0.45
403	1	0	0.45
404	1	0	0.45
405	1	0	0.45
406	1	0	0.45
407	1	0	0.45
408	1	0	0.45
409	4	0	0.45
410	1	0	0.45
411	4	0	0.45
412	1	0	0.45
413	1	0	0.45
414	1	0	0.45
415	1	0	0.45
416	1	0	0.45
417	1	0	0.45
418	1	0	0.45
419	1	0	0.45
420	1	0	0.45
421	5	0	0.45
422	1	0	0.45
423	1	0	0.45
424	1	0	0.45
425	1	0	0.45
426	1	0	0.45
427	1	0	0.45
428	1	0	0.45
429	1	0	0.45
430	1	0	0.45
431	1	0	0.45
432	3	0	0.45
433	1	0	0.45
434	1	0	0.45
435	1	0	0.45
436	1	0	0.45
437	1	0	0.45
438	1	0	0.45
439	3	0	0.45
440	1	0	0.45
441	1	0	0.45
442	101	0	0.45
443	52	0	0.45
444	2	0	0.45
445	1	0	0.45
446	110	0	0.45
447	6	0	0.45
448	3	0	0.45
449	2	0	0.45
450	2	0	0.45
451	1	0	0.45
452	4	0	0.45
453	4	0	0.45
454	1	0	0.45
455	1	0	0.45
456	1	0	0.45
457	1	0	0.45
458	1	0	0.45
459	1	0	0.45
460	2	0	0.45
461	7	0	0.45
462	7	0	0.45
463	1	0	0.45
464	2	0	0.45
465	2	0	0.45
466	1	0	0.45
467	3	0	0.45
468	3	0	0.45
469	38	0	0.45
470	3	0	0.45
471	3	0	0.45
472	34	0	0.45
473	1	0	0.45
474	1	0	0.45
475	4	0	0.45
476	1	0	0.45
477	6	0	0.45
478	6	0	0.45
479	1	0	0.45
480	1	0	0.45
481	1	0	0.45
482	1	0	0.45
483	3	0	0.45
484	3	0	0.45
485	1	0	0.45
486	5	0	0.45
487	5	0	0.45
488	1	0	0.45
489	1	0	0.45
490	1	0	0.45
491	1	0	0.45
492	5	0	0.45
493	5	0	0.45
494	1	0	0.45
495	1	0	0.45
496	2	0	0.45
497	2	0	0.45
498	2	0	0.45
499	1	0	0.45
500	6	0	0.45
501	6	0	0.45
502	1	0	0.45
503	6	0	0.45
504	6	0	0.45
505	1	0	0.45
506	1	0	0.45
507	1	0	0.45
508	2	0	0.45
509	1	0	0.45
510	1	0	0.45
511	2	0	0.45
512	3	0	0.45
513	13	0	0.45
514	2	0	0.45
515	2	0	0.45
516	65	0	0.45
517	6	0	0.45
518	4	0	0.45
519	2	0	0.45
520	1	0	0.45
521	1	0	0.45
522	1	0	0.45
523	2	0	0.45
524	2	0	0.45
525	1	0	0.45
526	1	0	0.45
527	1	0	0.45
528	30	0	0.45
529	1	0	0.45
530	1	0	0.45
531	1	0	0.45
532	1	0	0.45
533	71	0	0.45
534	2	0	0.45
535	2	0	0.45
536	2	0	0.45
537	2	0	0.45
538	1	0	0.45
539	4	0	0.45
540	4	0	0.45
541	1	0	0.45
542	3	0	0.45
543	3	0	0.45
544	2	0	0.45
545	2	0	0.45
546	2	0	0.45
547	21	0	0.45
548	4	0	0.45
549	4	0	0.45
550	17	0	0.45
551	4	0	0.45
552	4	0	0.45
553	2	0	0.45
554	8	0	0.45
555	6	0	0.45
556	1	0	0.45
557	3	0	0.45
558	3	0	0.45
559	69	0	0.45
560	9	0	0.45
561	9	0	0.45
562	1	0	0.45
563	2	0	0.45
564	2	0	0.45
565	19	0	0.45
566	132	0.4090909091	0.45
567	95	3.436842105	0.7436842105
568	6	7	1.1
569	1	6	1
570	1	0	0.45
571	1	6	1
572	4	6	1
573	1	0	0.45
574	1	6	1
575	1	6	1
576	3	0	0.45
577	3	6	1
578	2	6	1
579	1	0	0.45
580	1	6	1
581	1	0	0.45
582	4	6	1
583	2	0	0.45
584	2	6	1
585	2	6	1
586	2	0	0.45
587	2	6	1
588	1	6	1
589	1	0	0.45
590	1	6	1
591	1	6	1
592	1	0	0.45
593	1	6	1
594	1	6	1
595	2	0	0.45
596	16	6.4375	1.04375
597	2	0	0.45
598	2	7	1.1
599	1	7	1.1
600	1	0	0.45
601	1	7	1.1
602	2	7	1.1
603	2	0	0.45
604	1	7	1.1
605	1	7	1.1
606	1	0	0.45
607	5	7	1.1
608	1	7	1.1
609	1	0	0.45
610	1	7	1.1
611	1	7	1.1
612	1	0	0.45
613	1	7	1.1
614	1	7	1.1
615	1	0	0.45
616	29	7	1.1
617	2	7	1.1
618	1	0	0.45
619	1	7	1.1
620	1	7	1.1
621	1	0	0.45
622	1	7	1.1
623	1	7	1.1
624	1	0	0.45
625	1	7	1.1
626	2	7	1.1
627	1	0	0.45
628	1	7	1.1
629	6	7	1.1
630	2	2	0.6
631	371	0.2601078167	0.45
632	2	1	0.5
633	1	0	0.45
634	1	0	0.45
635	2	2	0.6
636	1	3	0.7
637	1	0	0.45
638	1	3	0.7
639	1	3	0.7
640	1	0	0.45
641	1	4	0.8
642	2	4	0.8
643	2	0	0.45
644	1	5	0.9
645	1	5	0.9
646	1	0	0.45
647	1	5	0.9
648	1	6	1
649	8	0	0.45
650	4	7	1.1
651	1	4	0.8
652	1	5	0.9
653	47	16.24468085	2.024468085
654	1	11	1.5
655	1	10	1.4
656	6	22.5	2.65
657	2	27.75	3.175
658	1	25	2.9
659	1	4	0.8
660	1	18	2.2
661	3	11	1.5
662	3	29	3.3
663	1	18	2.2
664	1	12	1.6
665	1	31	3.5
666	1	20	2.4
667	1	12	1.6
668	2	34	3.8
669	19	22.60526316	2.660526316
670	1	18	2.2
671	1	6	1
672	29	25.46551724	2.946551724
673	1	24	2.8
674	1	4	0.8
675	47	33.4787234	3.74787234
676	1	31	3.5
677	1	11	1.5
678	6	43	4.7
679	1	41	4.5
680	1	0	0.45
681	1	2	0.6
682	1	43	4.7
683	4	43	4.7
684	1	0	0.45
685	1	43	4.7
686	33	38.8030303	4.28030303
687	1	21	2.5
688	1	14	1.8
689	5	36	4
690	1	19	2.3
691	1	15	1.9
692	25	33.2	3.72
693	1	45	4.9
694	1	32	3.6
695	1	13	1.7
696	5	44.3	4.83
697	2	32	3.6
698	2	13	1.7
699	2	13	1.7
700	2	15	1.9
701	2	0	0.45
702	3	16	2
703	1	16	2
704	1	0	0.45
705	1	16	2
706	63	22.3968254	2.63968254
707	1	24	2.8
708	2	0	0.45
709	2	24	2.8
710	2	24	2.8
711	1	0	0.45
712	1	24	2.8
713	16	24	2.8
714	147	6.513605442	1.051360544
715	1	0	0.45
716	1	0	0.45
717	1	0	0.45
718	1	0	0.45
719	1	0	0.45
720	1	0	0.45
721	1	0	0.45
722	1	0	0.45
723	1	0	0.45
724	1	0	0.45
725	1	0	0.45
726	1	0	0.45
727	1	0	0.45
728	1	0	0.45
729	1	0	0.45
730	1	0	0.45
731	1	0	0.45
732	1	0	0.45
733	1	0	0.45
734	1	0	0.45
735	1	0	0.45
736	1	0	0.45
737	1	0	0.45
738	1	0	0.45
739	1	0	0.45
740	1	0	0.45
741	1	0	0.45
742	1	0	0.45
743	1	0	0.45
744	1	0	0.45
745	1	31	3.5
746	1	31	3.5
747	1	0	0.45
748	2	30.75	3.475
749	6	0	0.45
750	1	30	3.4
751	2	29	3.3
752	2	0	0.45
753	7	31.85714286	3.585714286
754	2	32	3.6
755	2	0	0.45
756	1	32	3.6
757	2	0	0.45
758	2	31	3.5
759	1	31	3.5
760	1	0	0.45
761	1	33	3.7
762	4	33	3.7
763	4	0	0.45
764	1	32	3.6
765	1	32	3.6
766	1	0	0.45
767	2	32	3.6
768	4	33	3.7
769	3	0	0.45
770	12	34.08333333	3.808333333
771	9	34	3.8
772	3	33	3.7
773	1	22	2.6
774	3	0	0.45
775	1	11	1.5
776	55	0	0.45
777	2	33	3.7
778	35	33.42857143	3.742857143
779	170	7.379411765	1.137941177
780	1	11	1.5
781	1	10	1.4
782	1	0	0.45
783	1	10	1.4
784	1	10	1.4
785	1	0	0.45
786	1	10	1.4
787	2	9	1.3
788	2	0	0.45
789	2	9	1.3
790	1	9	1.3
791	1	0	0.45
792	4	8.875	1.2875
793	1	8	1.2
794	7	0	0.45
795	1	8	1.2
796	1	8	1.2
797	1	0	0.45
798	3	7	1.1
799	1	7	1.1
800	1	0	0.45
801	1	0	0.45
802	5	7	1.1
803	25	7	1.1
804	2	0	0.45
805	1	0	0.45
806	1	7	1.1
807	2	7	1.1
808	2	5	0.9
809	2	2	0.6
810	1	7	1.1
811	261	1.674329502	0.5674329502
812	3	0	0.45
813	131	0	0.45
814	3	0	0.45
815	3	0	0.45
816	1	0	0.45
817	5	0	0.45
818	3	0	0.45
819	48	0	0.45
820	23	0	0.45
821	1	0	0.45
822	1	0	0.45
823	400	11.41625	1.541625
824	3	11	1.5
825	3	0	0.45
826	3	11	1.5
827	2	10	1.4
828	2	0	0.45
829	1	10	1.4
830	2	10	1.4
831	2	0	0.45
832	1	10	1.4
833	8	10	1.4
834	2	0	0.45
835	1	9	1.3
836	1	9	1.3
837	1	0	0.45
838	2	9	1.3
839	1	9	1.3
840	1	0	0.45
841	1	9	1.3
842	1	9	1.3
843	1	9	1.3
844	3	0	0.45
845	1	9	1.3
846	1	9	1.3
847	1	0	0.45
848	113	7.017699115	1.101769911
849	1	1	0.5
850	5	0	0.45
851	3	1	0.5
852	4	1	0.5
853	1	1	0.5
854	1	1	0.5
855	1	0	0.45
856	1	1	0.5
857	3	1	0.5
858	3	0	0.45
859	7	1	0.5
860	1	1	0.5
861	1	0	0.45
862	83	0.3373493976	0.45
863	1	0	0.45
864	2	0	0.45
865	5	0	0.45
866	5	0	0.45
867	1	0	0.45
868	1	0	0.45
869	1	0	0.45
870	23	0	0.45
871	1	0	0.45
872	1	0	0.45
873	73	0	0.45
874	2	0	0.45
875	6	0	0.45
876	8	0	0.45
877	2	0	0.45
878	2	0	0.45
879	2	0	0.45
880	2	0	0.45
881	69	0.7463768116	0.4746376812
882	1	0	0.45
883	1	2	0.6
884	1	3	0.7
885	1	4	0.8
886	41	21.80487805	2.580487805
887	1	0	0.45
888	3	0	0.45
889	3	34	3.8
890	2	36	4
891	3	0	0.45
892	3	36.83333333	4.083333333
893	32	40.625	4.4625
894	1	46	5
895	1	0	0.45
896	13	48	5.2
897	2	49	5.3
898	2	0	0.45
899	8	51	5.5
900	57	59.80701754	6.380701754
901	2	2	0.6
902	1	70	7.4
903	40	0	0.45
904	52	0	0.45
905	2	0	0.45
906	3	0	0.45
907	1	0	0.45
908	51	0	0.45
909	536	0	0.45
910	53	64.64150943	6.864150943
911	1	56	6
912	1	0	0.45
913	11	55	5.9
914	4	2	0.6
915	4	0.75	0.475
916	4	2.25	0.625
917	4	2	0.6
918	7	42	4.6
919	3	0	0.45
920	1	41	4.5
921	3	41	4.5
922	3	0	0.45
923	1	41	4.5
924	3	0	0.45
925	3	47	5.1
926	1	47	5.1
927	1	47	5.1
928	1	0	0.45
929	5	47	5.1
930	1	0	0.45
931	2	47	5.1
932	3	0	0.45
933	3	48	5.2
934	46	43.30434783	4.730434783
935	1	38	4.2
936	1	0	0.45
937	1	38	4.2
938	1	38	4.2
939	1	0	0.45
940	1	37	4.1
941	2	38	4.2
942	2	0	0.45
943	1	36	4
944	5	36	4
945	5	0	0.45
946	1	32	3.6
947	1	32	3.6
948	1	0	0.45
949	1	32	3.6
950	5	32.8	3.68
951	5	0	0.45
952	1	22	2.6
953	3	24	2.8
954	3	0	0.45
955	1	23	2.7
956	1	23	2.7
957	1	0	0.45
958	101	25.74752475	2.974752475
959	1	40	4.4
960	1	0	0.45
961	16	47.3125	5.13125
962	291	0	0.45
963	75	0	0.45
964	2	0	0.45
965	23	0	0.45
966	3	46	5
967	1	0	0.45
968	1	46	5
969	5	47.6	5.16
970	2	0	0.45
971	2	47	5.1
972	2	49	5.3
973	1	0	0.45
974	1	51	5.5
975	2	51	5.5
976	1	0	0.45
977	1	51	5.5
978	2	54	5.8
979	1	0	0.45
980	1	55	5.9
981	2	55	5.9
982	2	0	0.45
983	2	56	6
984	5	58	6.2
985	1	0	0.45
986	1	58	6.2
987	3	58.33333333	6.233333333
988	324	0	0.45
989	1	59	6.3
990	2	1	0.5
991	2	58	6.2
992	1	59	6.3
993	1	0	0.45
994	1	59	6.3
995	2	61	6.5
996	1	0	0.45
997	1	61	6.5
998	1	62	6.6
999	3	0	0.45
1000	3	0	0.45
1001	1	63	6.7
1002	8	63.875	6.7875
1003	2	1	0.5
1004	1	65	6.9
1005	7	0	0.45
1006	3	2	0.6
1007	2	64	6.8
1008	1	0	0.45
1009	1	65	6.9
1010	2	65	6.9
1011	1	0	0.45
1012	1	66	7
1013	62	66.27419355	7.027419355
1014	1	72	7.6
1015	4	71	7.5
1016	2	0	0.45
1017	2	70.5	7.45
1018	2	69	7.3
1019	1	69	7.3
1020	4	69.375	7.3375
1021	1	0	0.45
1022	1	69	7.3
1023	25	69.72	7.372
1024	1	0	0.45
1025	1	0	0.45
1026	1	69	7.3
1027	1	70	7.4
1028	1	0	0.45
1029	2	71	7.5
1030	2	70	7.4
1031	2	0	0.45
1032	61	52.23770492	5.623770492
1033	2	1	0.5
1034	1	41	4.5
1035	1	41	4.5
1036	1	0	0.45
1037	3	40	4.4
1038	1	40	4.4
1039	1	0	0.45
1040	2	40	4.4
1041	4	39.375	4.3375
1042	3	0	0.45
1043	2	37.75	4.175
1044	1	37	4.1
1045	2	2	0.6
1046	2	0	0.45
1047	2	0	0.45
1048	3	2	0.6
1049	1	34	3.8
1050	1	34	3.8
1051	3	34	3.8
1052	1	34	3.8
1053	1	34	3.8
1054	2	0	0.45
1055	1	0	0.45
1056	1	34	3.8
1057	2	34	3.8
1058	1	0	0.45
1059	3	0	0.45
1060	3	0	0.45
1061	3	0	0.45
1062	2	34	3.8
1063	1	33	3.7
1064	1	0	0.45
1065	1	33	3.7
1066	2	32.5	3.65
1067	1	32	3.6
1068	1	13	1.7
1069	1	0	0.45
1070	1	0	0.45
1071	4	13	1.7
1072	4	0	0.45
1073	1	12	1.6
1074	4	5.875	0.9875
1075	3	0	0.45
1076	2	0	0.45
1077	2	0	0.45
1078	1	0	0.45
1079	3	0	0.45
1080	3	0	0.45
1081	1	0	0.45
1082	2	0	0.45
1083	2	0	0.45
1084	1	0	0.45
1085	1	0	0.45
1086	1	0	0.45
1087	56	0	0.45
1088	5	0	0.45
1089	5	0	0.45
1090	1	0	0.45
1091	7	0	0.45
1092	7	0	0.45
1093	1	0	0.45
1094	3	0	0.45
1095	3	0	0.45
1096	68	0	0.45
1097	61	0	0.45
1098	1	0	0.45
1099	1	0	0.45
1100	6	0	0.45
1101	3	0	0.45
1102	4	0	0.45
1103	2	0	0.45
1104	1	0	0.45
1105	1	0	0.45
1106	1	0	0.45
1107	1	0	0.45
1108	1	0	0.45
1109	1	0	0.45
1110	3	0	0.45
1111	2	0	0.45
1112	59	0	0.45
1113	2	0	0.45
1114	2	0	0.45
1115	1	0	0.45
1116	2	0	0.45
1117	2	0	0.45
1118	1	0	0.45
1119	4	0	0.45
1120	4	0	0.45
1121	1	0	0.45
1122	1	0	0.45
1123	1	0	0.45
1124	15	0	0.45
1125	1	0	0.45
1126	1	0	0.45
1127	88	0	0.45
1128	208	0	0.45
1129	1	0	0.45
1130	1	0	0.45
1131	1	0	0.45
1132	12	0	0.45
1133	12	0	0.45
1134	1	0	0.45
1135	2	0	0.45
1136	2	0	0.45
1137	1	0	0.45
1138	2	0	0.45
1139	2	0	0.45
1140	205	0	0.45
1141	5	0	0.45
1142	5	0	0.45
1143	2	0	0.45
1144	3	0	0.45
1145	1	0	0.45
1146	1	0	0.45
1147	1	0	0.45
1148	2	0	0.45
1149	7	0	0.45
1150	1	0	0.45
1151	8	0	0.45
1152	8	0	0.45
1153	1	0	0.45
1154	2	0	0.45
1155	2	0	0.45
1156	1	0	0.45
1157	4	0	0.45
1158	4	0	0.45
1159	90	0	0.45
1160	5	0	0.45
1161	1	0	0.45
1162	1	0	0.45
1163	6	0	0.45
1164	10	0	0.45
1165	1	0	0.45
1166	1	0	0.45
1167	1	0	0.45
1168	3	0	0.45
1169	3	0	0.45
1170	3	0	0.45
1171	3	0	0.45
1172	1	0	0.45
1173	1	0	0.45
1174	1	0	0.45
1175	125	0	0.45
1176	1	0	0.45
1177	1	0	0.45
1178	1	0	0.45
1179	2	0	0.45
1180	1	0	0.45
1181	2	0	0.45
1182	1	0	0.45
1183	1	0	0.45
1184	2	0	0.45
1185	1	0	0.45
1186	1	0	0.45
1187	4	0	0.45
1188	7	0	0.45
1189	2	0	0.45
1190	1	0	0.45
1191	4	0	0.45
1192	4	0	0.45
1193	1	0	0.45
1194	1	0	0.45
1195	1	0	0.45
1196	2	0	0.45
1197	1	0	0.45
1198	1	0	0.45
1199	1	0	0.45
1200	1	0	0.45
1201	1	0	0.45
1202	1	0	0.45
1203	1	0	0.45
1204	1	0	0.45
1205	1	0	0.45
1206	2	0	0.45
1207	2	0	0.45
1208	1	0	0.45
1209	1	0	0.45
1210	1	0	0.45
1211	1	0	0.45
1212	2	0	0.45
1213	2	0	0.45
1214	1	0	0.45
1215	3	0	0.45
1216	3	0	0.45
1217	59	0	0.45
1218	1	0	0.45
1219	1	0	0.45
1220	70	0	0.45
1221	2	0	0.45
1222	2	0	0.45
1223	5	0	0.45
1224	7	0	0.45
1225	7	0	0.45
1226	37	0	0.45
1227	3	0	0.45
1228	3	0	0.45
1229	1	0	0.45
1230	1	0	0.45
1231	1	0	0.45
1232	1	0	0.45
1233	1	0	0.45
1234	1	0	0.45
1235	1	0	0.45
1236	1	0	0.45
1237	1	0	0.45
1238	1	0	0.45
1239	1	0	0.45
1240	1	0	0.45
1241	1	0	0.45
1242	1	0	0.45
1243	131	0	0.45
1244	9	0	0.45
1245	12	0	0.45
1246	125	0	0.45
1247	1	0	0.45
1248	2	0	0.45
1249	2	0	0.45
1250	3	0	0.45
1251	1	0	0.45
1252	1	0	0.45
1253	2	0	0.45
1254	2	0	0.45
1255	2	0	0.45
1256	2	0	0.45
1257	1	0	0.45
1258	1	0	0.45
1259	9	0	0.45
1260	1	0	0.45
1261	1	0	0.45
1262	2	0	0.45
1263	4	0	0.45
1264	4	0	0.45
1265	84	0	0.45
1266	4	0	0.45
1267	4	0	0.45
1268	4	0	0.45
1269	4	0	0.45
1270	3	0	0.45
1271	2	0	0.45
1272	2	0	0.45
1273	1	0	0.45
1274	5	0	0.45
1275	5	0	0.45
1276	1	0	0.45
1277	2	0	0.45
1278	2	0	0.45
1279	2	0	0.45
1280	2	0	0.45
1281	1	0	0.45
1282	2	0	0.45
1283	1	0	0.45
1284	3	0	0.45
1285	3	0	0.45
1286	3	0	0.45
1287	24	0	0.45
1288	3	0	0.45
1289	3	0	0.45
1290	3	0	0.45
1291	3	0	0.45
1292	3	0	0.45
1293	5	0	0.45
1294	1	0	0.45
1295	1	0	0.45
1296	180	0	0.45
1297	2	0	0.45
1298	2	0	0.45
1299	1	0	0.45
1300	8	0	0.45
1301	9	0	0.45
1302	1	0	0.45
1303	1	0	0.45
1304	1	0	0.45
1305	101	0	0.45
1306	2	0	0.45
1307	2	0	0.45
1308	1	0	0.45
1309	2	0	0.45
1310	2	0	0.45
1311	1	0	0.45
1312	5	0	0.45
1313	5	0	0.45
1314	1	0	0.45
1315	1	0	0.45
1316	1	0	0.45
1317	2	0	0.45
1318	4	0	0.45
1319	1	0	0.45
1320	3	0	0.45
1321	1	0	0.45
1322	4	0	0.45
1323	4	0	0.45
1324	21	0	0.45
1325	1	0	0.45
1326	1	0	0.45
1327	23	0	0.45
1328	4	0	0.45
1329	4	0	0.45
1330	2	0	0.45
1331	3	0	0.45
1332	1	0	0.45
1333	2	0	0.45
1334	1	0	0.45
1335	1	0	0.45
1336	1	0	0.45
1337	1	0	0.45
1338	5	0	0.45
1339	2	0	0.45
1340	2	0	0.45
