index	sample	fasta	length
16	seq_1016-0094-#1#1	/home/aarav/projects/PangenomeHUBOPipeline-ModifiedPaper/results/population/genomes/seq_1016-0094-#1#1.fa	10030
17	seq_1017-0009-#1#1	/home/aarav/projects/PangenomeHUBOPipeline-ModifiedPaper/results/population/genomes/seq_1017-0009-#1#1.fa	9995
18	seq_1018-0056-#1#1	/home/aarav/projects/PangenomeHUBOPipeline-ModifiedPaper/results/population/genomes/seq_1018-0056-#1#1.fa	10003
19	seq_1019-0013-#1#1	/home/aarav/projects/PangenomeHUBOPipeline-ModifiedPaper/results/population/genomes/seq_1019-0013-#1#1.fa	9996
20	seq_1020-0081-#1#1	/home/aarav/projects/PangenomeHUBOPipeline-ModifiedPaper/results/population/genomes/seq_1020-0081-#1#1.fa	9989
21	seq_1021-0048-#1#1	/home/aarav/projects/PangenomeHUBOPipeline-ModifiedPaper/results/population/genomes/seq_1021-0048-#1#1.fa	10069
22	seq_1022-0025-#1#1	/home/aarav/projects/PangenomeHUBOPipeline-ModifiedPaper/results/population/genomes/seq_1022-0025-#1#1.fa	10017
23	seq_1023-0068-#1#1	/home/aarav/projects/PangenomeHUBOPipeline-ModifiedPaper/results/population/genomes/seq_1023-0068-#1#1.fa	10013
24	seq_1024-0040-#1#1	/home/aarav/projects/PangenomeHUBOPipeline-ModifiedPaper/results/population/genomes/seq_1024-0040-#1#1.fa	9989
25	seq_1025-0046-#1#1	/home/aarav/projects/PangenomeHUBOPipeline-ModifiedPaper/results/population/genomes/seq_1025-0046-#1#1.fa	9992
26	seq_1026-0058-#1#1	/home/aarav/projects/PangenomeHUBOPipeline-ModifiedPaper/results/population/genomes/seq_1026-0058-#1#1.fa	9985
27	seq_1027-0066-#1#1	/home/aarav/projects/PangenomeHUBOPipeline-ModifiedPaper/results/population/genomes/seq_1027-0066-#1#1.fa	9988
28	seq_1028-0024-#1#1	/home/aarav/projects/PangenomeHUBOPipeline-ModifiedPaper/results/population/genomes/seq_1028-0024-#1#1.fa	10010
29	seq_1029-0061-#1#1	/home/aarav/projects/PangenomeHUBOPipeline-ModifiedPaper/results/population/genomes/seq_1029-0061-#1#1.fa	10005
30	seq_1030-0068-#1#1	/home/aarav/projects/PangenomeHUBOPipeline-ModifiedPaper/results/population/genomes/seq_1030-0068-#1#1.fa	10015
31	seq_1031-0042-#1#1	/home/aarav/projects/PangenomeHUBOPipeline-ModifiedPaper/results/population/genomes/seq_1031-0042-#1#1.fa	9985
32	seq_1032-0085-#1#1	/home/aarav/projects/PangenomeHUBOPipeline-ModifiedPaper/results/population/genomes/seq_1032-0085-#1#1.fa	10064
33	seq_1033-0020-#1#1	/home/aarav/projects/PangenomeHUBOPipeline-ModifiedPaper/results/population/genomes/seq_1033-0020-#1#1.fa	10000
34	seq_1034-0028-#1#1	/home/aarav/projects/PangenomeHUBOPipeline-ModifiedPaper/results/population/genomes/seq_1034-0028-#1#1.fa	9991
35	seq_1035-0020-#1#1	/home/aarav/projects/PangenomeHUBOPipeline-ModifiedPaper/results/population/genomes/seq_1035-0020-#1#1.fa	10002
36	seq_1036-0015-#1#1	/home/aarav/projects/PangenomeHUBOPipeline-ModifiedPaper/results/population/genomes/seq_1036-0015-#1#1.fa	10067
37	seq_1037-0072-#1#1	/home/aarav/projects/PangenomeHUBOPipeline-ModifiedPaper/results/population/genomes/seq_1037-0072-#1#1.fa	10012
38	seq_1038-0027-#1#1	/home/aarav/projects/PangenomeHUBOPipeline-ModifiedPaper/results/population/genomes/seq_1038-0027-#1#1.fa	9993
39	seq_1039-0037-#1#1	/home/aarav/projects/PangenomeHUBOPipeline-ModifiedPaper/results/population/genomes/seq_1039-0037-#1#1.fa	10069
40	seq_1040-0088-#1#1	/home/aarav/projects/PangenomeHUBOPipeline-ModifiedPaper/results/population/genomes/seq_1040-0088-#1#1.fa	9994
41	seq_1041-0099-#1#1	/home/aarav/projects/PangenomeHUBOPipeline-ModifiedPaper/results/population/genomes/seq_1041-0099-#1#1.fa	9958
42	seq_1042-0004-#1#1	/home/aarav/projects/PangenomeHUBOPipeline-ModifiedPaper/results/population/genomes/seq_1042-0004-#1#1.fa	9986
43	seq_1043-0024-#1#1	/home/aarav/projects/PangenomeHUBOPipeline-ModifiedPaper/results/population/genomes/seq_1043-0024-#1#1.fa	10015
44	seq_1044-0094-#1#1	/home/aarav/projects/PangenomeHUBOPipeline-ModifiedPaper/results/population/genomes/seq_1044-0094-#1#1.fa	10024
45	seq_1045-0031-#1#1	/home/aarav/projects/PangenomeHUBOPipeline-ModifiedPaper/results/population/genomes/seq_1045-0031-#1#1.fa	10015
46	seq_1046-0034-#1#1	/home/aarav/projects/PangenomeHUBOPipeline-ModifiedPaper/results/population/genomes/seq_1046-0034-#1#1.fa	10006
47	seq_1047-0085-#1#1	/home/aarav/projects/PangenomeHUBOPipeline-ModifiedPaper/results/population/genomes/seq_1047-0085-#1#1.fa	10065
48	seq_1048-0041-#1#1	/home/aarav/projects/PangenomeHUBOPipeline-ModifiedPaper/results/population/genomes/seq_1048-0041-#1#1.fa	9998
49	seq_1049-0001-#1#1	/home/aarav/projects/PangenomeHUBOPipeline-ModifiedPaper/results/population/genomes/seq_1049-0001-#1#1.fa	9993
50	seq_1050-0068-#1#1	/home/aarav/projects/PangenomeHUBOPipeline-ModifiedPaper/results/population/genomes/seq_1050-0068-#1#1.fa	10004
51	seq_1051-0097-#1#1	/home/aarav/projects/PangenomeHUBOPipeline-ModifiedPaper/results/population/genomes/seq_1051-0097-#1#1.fa	10064
52	seq_1052-0020-#1#1	/home/aarav/projects/PangenomeHUBOPipeline-ModifiedPaper/results/population/genomes/seq_1052-0020-#1#1.fa	9999
53	seq_1053-0020-#1#1	/home/aarav/projects/PangenomeHUBOPipeline-ModifiedPaper/results/population/genomes/seq_1053-0020-#1#1.fa	9998
54	seq_1054-0020-#1#1	/home/aarav/projects/PangenomeHUBOPipeline-ModifiedPaper/results/population/genomes/seq_1054-0020-#1#1.fa	10004
55	seq_1055-0000-#1#1	/home/aarav/projects/PangenomeHUBOPipeline-ModifiedPaper/results/population/genomes/seq_1055-0000-#1#1.fa	9973
56	seq_1056-0040-#1#1	/home/aarav/projects/PangenomeHUBOPipeline-ModifiedPaper/results/population/genomes/seq_1056-0040-#1#1.fa	10070
57	seq_1057-0081-#1#1	/home/aarav/projects/PangenomeHUBOPipeline-ModifiedPaper/results/population/genomes/seq_1057-0081-#1#1.fa	9988
58	seq_1058-0005-#1#1	/home/aarav/projects/PangenomeHUBOPipeline-ModifiedPaper/results/population/genomes/seq_1058-0005-#1#1.fa	9983
59	seq_1059-0036-#1#1	/home/aarav/projects/PangenomeHUBOPipeline-ModifiedPaper/results/population/genomes/seq_1059-0036-#1#1.fa	10001
60	seq_1060-0037-#1#1	/home/aarav/projects/PangenomeHUBOPipeline-ModifiedPaper/results/population/genomes/seq_1060-0037-#1#1.fa	10060
61	seq_1061-0054-#1#1	/home/aarav/projects/PangenomeHUBOPipeline-ModifiedPaper/results/population/genomes/seq_1061-0054-#1#1.fa	9999
62	seq_1062-0020-#1#1	/home/aarav/projects/PangenomeHUBOPipeline-ModifiedPaper/results/population/genomes/seq_1062-0020-#1#1.fa	9996
63	seq_1063-0015-#1#1	/home/aarav/projects/PangenomeHUBOPipeline-ModifiedPaper/results/population/genomes/seq_1063-0015-#1#1.fa	10061
64	seq_1064-0038-#1#1	/home/aarav/projects/PangenomeHUBOPipeline-ModifiedPaper/results/population/genomes/seq_1064-0038-#1#1.fa	10023
65	seq_1065-0096-#1#1	/home/aarav/projects/PangenomeHUBOPipeline-ModifiedPaper/results/population/genomes/seq_1065-0096-#1#1.fa	9958
66	seq_1066-0085-#1#1	/home/aarav/projects/PangenomeHUBOPipeline-ModifiedPaper/results/population/genomes/seq_1066-0085-#1#1.fa	10063
67	seq_1067-0011-#1#1	/home/aarav/projects/PangenomeHUBOPipeline-ModifiedPaper/results/population/genomes/seq_1067-0011-#1#1.fa	10008
68	seq_1068-0038-#1#1	/home/aarav/projects/PangenomeHUBOPipeline-ModifiedPaper/results/population/genomes/seq_1068-0038-#1#1.fa	10018
69	seq_1069-0026-#1#1	/home/aarav/projects/PangenomeHUBOPipeline-ModifiedPaper/results/population/genomes/seq_1069-0026-#1#1.fa	9992
70	seq_1070-0055-#1#1	/home/aarav/projects/PangenomeHUBOPipeline-ModifiedPaper/results/population/genomes/seq_1070-0055-#1#1.fa	10013
71	seq_1071-0008-#1#1	/home/aarav/projects/PangenomeHUBOPipeline-ModifiedPaper/results/population/genomes/seq_1071-0008-#1#1.fa	9962
72	seq_1072-0064-#1#1	/home/aarav/projects/PangenomeHUBOPipeline-ModifiedPaper/results/population/genomes/seq_1072-0064-#1#1.fa	10058
73	seq_1073-0099-#1#1	/home/aarav/projects/PangenomeHUBOPipeline-ModifiedPaper/results/population/genomes/seq_1073-0099-#1#1.fa	9959
74	seq_1074-0048-#1#1	/home/aarav/projects/PangenomeHUBOPipeline-ModifiedPaper/results/population/genomes/seq_1074-0048-#1#1.fa	10067
75	seq_1075-0098-#1#1	/home/aarav/projects/PangenomeHUBOPipeline-ModifiedPaper/results/population/genomes/seq_1075-0098-#1#1.fa	9993
76	seq_1076-0018-#1#1	/home/aarav/projects/PangenomeHUBOPipeline-ModifiedPaper/results/population/genomes/seq_1076-0018-#1#1.fa	9997
77	seq_1077-0039-#1#1	/home/aarav/projects/PangenomeHUBOPipeline-ModifiedPaper/results/population/genomes/seq_1077-0039-#1#1.fa	9997
78	seq_1078-0045-#1#1	/home/aarav/projects/PangenomeHUBOPipeline-ModifiedPaper/results/population/genomes/seq_1078-0045-#1#1.fa	10029
79	seq_1079-0002-#1#1	/home/aarav/projects/PangenomeHUBOPipeline-ModifiedPaper/results/population/genomes/seq_1079-0002-#1#1.fa	10001
80	seq_1080-0038-#1#1	/home/aarav/projects/PangenomeHUBOPipeline-ModifiedPaper/results/population/genomes/seq_1080-0038-#1#1.fa	10013
81	seq_1081-0084-#1#1	/home/aarav/projects/PangenomeHUBOPipeline-ModifiedPaper/results/population/genomes/seq_1081-0084-#1#1.fa	10003
82	seq_1082-0096-#1#1	/home/aarav/projects/PangenomeHUBOPipeline-ModifiedPaper/results/population/genomes/seq_1082-0096-#1#1.fa	9965
83	seq_1083-0071-#1#1	/home/aarav/projects/PangenomeHUBOPipeline-ModifiedPaper/results/population/genomes/seq_1083-0071-#1#1.fa	10020
84	seq_1084-0084-#1#1	/home/aarav/projects/PangenomeHUBOPipeline-ModifiedPaper/results/population/genomes/seq_1084-0084-#1#1.fa	10021
85	seq_1085-0082-#1#1	/home/aarav/projects/PangenomeHUBOPipeline-ModifiedPaper/results/population/genomes/seq_1085-0082-#1#1.fa	10008
86	seq_1086-0096-#1#1	/home/aarav/projects/PangenomeHUBOPipeline-ModifiedPaper/results/population/genomes/seq_1086-0096-#1#1.fa	9960
87	seq_1087-0009-#1#1	/home/aarav/projects/PangenomeHUBOPipeline-ModifiedPaper/results/population/genomes/seq_1087-0009-#1#1.fa	9995
88	seq_1088-0046-#1#1	/home/aarav/projects/PangenomeHUBOPipeline-ModifiedPaper/results/population/genomes/seq_1088-0046-#1#1.fa	10010
89	seq_1089-0053-#1#1	/home/aarav/projects/PangenomeHUBOPipeline-ModifiedPaper/results/population/genomes/seq_1089-0053-#1#1.fa	9994
90	seq_1090-0044-#1#1	/home/aarav/projects/PangenomeHUBOPipeline-ModifiedPaper/results/population/genomes/seq_1090-0044-#1#1.fa	10011
91	seq_1091-0026-#1#1	/home/aarav/projects/PangenomeHUBOPipeline-ModifiedPaper/results/population/genomes/seq_1091-0026-#1#1.fa	9978
92	seq_1092-0069-#1#1	/home/aarav/projects/PangenomeHUBOPipeline-ModifiedPaper/results/population/genomes/seq_1092-0069-#1#1.fa	10016
93	seq_1093-0051-#1#1	/home/aarav/projects/PangenomeHUBOPipeline-ModifiedPaper/results/population/genomes/seq_1093-0051-#1#1.fa	9999
94	seq_1094-0063-#1#1	/home/aarav/projects/PangenomeHUBOPipeline-ModifiedPaper/results/population/genomes/seq_1094-0063-#1#1.fa	9997
95	seq_1095-0068-#1#1	/home/aarav/projects/PangenomeHUBOPipeline-ModifiedPaper/results/population/genomes/seq_1095-0068-#1#1.fa	10006
96	seq_1096-0055-#1#1	/home/aarav/projects/PangenomeHUBOPipeline-ModifiedPaper/results/population/genomes/seq_1096-0055-#1#1.fa	10006
97	seq_1097-0018-#1#1	/home/aarav/projects/PangenomeHUBOPipeline-ModifiedPaper/results/population/genomes/seq_1097-0018-#1#1.fa	9992
98	seq_1098-0083-#1#1	/home/aarav/projects/PangenomeHUBOPipeline-ModifiedPaper/results/population/genomes/seq_1098-0083-#1#1.fa	9964
99	seq_1099-0027-#1#1	/home/aarav/projects/PangenomeHUBOPipeline-ModifiedPaper/results/population/genomes/seq_1099-0027-#1#1.fa	9987
