node	length	depth	copy_number
460	2	26	1.328571429
461	2	1	0.45
462	1	0	0.45
463	2	25.5	1.310714286
464	1	27	1.364285714
465	1	27	1.364285714
466	1	0	0.45
467	1	27	1.364285714
468	2	27.5	1.382142857
469	2	0	0.45
470	2	28	1.4
471	1	28	1.4
472	1	0	0.45
473	1	29	1.435714286
474	1	28	1.4
475	2	0	0.45
476	1	28	1.4
477	2	28	1.4
478	2	0	0.45
479	2	29	1.435714286
480	1	1	0.45
481	1	28	1.4
482	1	29	1.435714286
483	2	3	0.5071428571
484	2	26	1.328571429
485	1	29	1.435714286
486	10	29.5	1.453571429
487	4	30	1.471428571
488	3	30	1.471428571
489	1	30	1.471428571
490	1	30	1.471428571
491	3	31	1.507142857
492	1	0	0.45
493	1	31	1.507142857
494	1	31	1.507142857
495	1	0	0.45
496	1	31	1.507142857
497	2	31	1.507142857
498	1	1	0.45
499	1	31	1.507142857
500	2	32	1.542857143
501	3	0	0.45
502	2	33	1.578571429
503	1	33	1.578571429
504	1	0	0.45
505	1	32	1.542857143
506	1	32	1.542857143
507	2	0	0.45
508	2	32	1.542857143
509	32	32.46875	1.559598214
510	1	0	0.45
511	1	35	1.65
512	40	35.05	1.651785714
513	29	0	0.45
514	29	33.93103448	1.61182266
515	17	35.32352941	1.661554622
516	1	0	0.45
517	1	35	1.65
518	12	31.83333333	1.536904762
519	1	31	1.507142857
520	1	32	1.542857143
521	1	0	0.45
522	1	32	1.542857143
523	2	30.75	1.498214286
524	1	30	1.471428571
525	2	30	1.471428571
526	2	0	0.45
527	1	30	1.471428571
528	2	0	0.45
529	1	0	0.45
530	1	30	1.471428571
531	1	29	1.435714286
532	1	29	1.435714286
533	1	0	0.45
534	59	30.37288136	1.484745763
535	9	48.61111111	2.136111111
536	7	26	1.328571429
537	3	0	0.45
538	3	26	1.328571429
539	34	15.48529412	0.9530462186
540	34	11.88235294	0.8243697479
541	4	0	0.45
542	1	13	0.8642857143
543	1	0	0.45
544	1	13	0.8642857143
545	1	15	0.9357142857
546	2	0	0.45
547	2	15	0.9357142857
548	51	12.80392157	0.8572829132
549	1	0	0.45
550	4	0	0.45
551	1	15	0.9357142857
552	1	0	0.45
553	1	15	0.9357142857
554	1	15	0.9357142857
555	1	0	0.45
556	2	15	0.9357142857
557	3	15	0.9357142857
558	30	16.31666667	0.9827380954
559	1	19	1.078571429
560	6	0	0.45
561	1	19	1.078571429
562	1	0	0.45
563	3	19	1.078571429
564	2	19	1.078571429
565	3	19	1.078571429
566	1	18	1.042857143
567	1	18	1.042857143
568	1	0	0.45
569	2	18	1.042857143
570	1	0	0.45
571	1	18	1.042857143
572	2	18	1.042857143
573	33	0	0.45
574	1	18	1.042857143
575	2	0	0.45
576	2	32	1.542857143
577	13	32.30769231	1.553846154
578	2	0	0.45
579	2	30	1.471428571
580	19	27	1.364285714
581	10	23.55	1.241071429
582	1	51	2.221428571
583	1	51	2.221428571
584	1	0	0.45
585	1	51	2.221428571
586	1	51	2.221428571
587	2	0	0.45
588	2	51	2.221428571
589	1	52	2.257142857
590	3	0	0.45
591	50	34.21	1.621785714
592	3	0	0.45
593	3	34	1.614285714
594	2	35	1.65
595	1	0	0.45
596	1	35	1.65
597	19	33.97368421	1.613345865
598	18	36.33333333	1.697619047
599	3	36	1.685714286
600	1	35	1.65
601	1	0	0.45
602	1	35	1.65
603	1	35	1.65
604	4	35	1.65
605	7	0	0.45
606	1	35	1.65
607	1	0	0.45
608	1	34	1.614285714
609	1	34	1.614285714
610	3	0	0.45
611	3	36	1.685714286
612	1	36	1.685714286
613	1	0	0.45
614	1	36	1.685714286
615	5	36	1.685714286
616	1	0	0.45
617	1	36	1.685714286
618	8	39.75	1.819642857
619	3	39	1.792857143
620	4	2	0.4714285714
621	2	38.75	1.783928571
622	1	2	0.4714285714
623	2	0	0.45
624	1	2	0.4714285714
625	4	39	1.792857143
626	3	39	1.792857143
627	1	0	0.45
628	1	39	1.792857143
629	5	39.5	1.810714286
630	5	0	0.45
631	71	31.14788732	1.512424547
632	143	0	0.45
633	1	28	1.4
634	1	0	0.45
635	49	23.59183673	1.242565598
636	1	0	0.45
637	2	28	1.4
638	28	26.19642857	1.335586735
639	1	0	0.45
640	1	26	1.328571429
641	42	21.26190476	1.159353741
642	1	0	0.45
643	1	20	1.114285714
644	38	21.01315789	1.150469925
645	6	0	0.45
646	3	23	1.221428571
647	2	0	0.45
648	2	23	1.221428571
649	11	21	1.15
650	1	2	0.4714285714
651	4	0	0.45
652	4	2	0.4714285714
653	1	1	0.45
654	1	0	0.45
655	1	1	0.45
656	1	1	0.45
657	1	0	0.45
658	1	1	0.45
659	2	2	0.4714285714
660	6	23	1.221428571
661	7	0	0.45
662	2	0	0.45
663	27	28.42592593	1.41521164
664	1	0	0.45
665	1	30	1.471428571
666	9	27.88888889	1.396031746
667	13	0	0.45
668	13	26.61538462	1.350549451
669	2	26	1.328571429
670	1	0	0.45
671	1	26	1.328571429
672	15	28	1.4
673	3	0	0.45
674	3	26	1.328571429
675	1	26	1.328571429
676	52	5.346153846	0.5909340659
677	1	23	1.221428571
678	1	23	1.221428571
679	2	23	1.221428571
680	1	0	0.45
681	1	0	0.45
682	1	0	0.45
683	1	0	0.45
684	1	23	1.221428571
685	1	0	0.45
686	1	23	1.221428571
687	1	0	0.45
688	1	0	0.45
689	3	22	1.185714286
690	1	0	0.45
691	1	0	0.45
692	1	0	0.45
693	1	0	0.45
694	1	21	1.15
695	1	0	0.45
696	3	21	1.15
697	1	0	0.45
698	1	0	0.45
699	1	0	0.45
700	1	0	0.45
701	1	21	1.15
702	1	0	0.45
703	1	21	1.15
704	2	0	0.45
705	2	21	1.15
706	1	0	0.45
707	1	21	1.15
708	1	21	1.15
709	1	21	1.15
710	1	0	0.45
711	1	21	1.15
712	1	21	1.15
713	1	21	1.15
714	1	0	0.45
715	2	0	0.45
716	1	0	0.45
717	2	22	1.185714286
718	2	0	0.45
719	1	22	1.185714286
720	1	0	0.45
721	1	22	1.185714286
722	3	24	1.257142857
723	1	0	0.45
724	1	0	0.45
725	1	25	1.292857143
726	9	0	0.45
727	1	0	0.45
728	1	24	1.257142857
729	1	0	0.45
730	1	24	1.257142857
731	1	25	1.292857143
732	2	24.5	1.275
733	2	0	0.45
734	1	0	0.45
735	2	24	1.257142857
736	4	24	1.257142857
737	4	0	0.45
738	1	26	1.328571429
739	1	26	1.328571429
740	1	0	0.45
741	15	27.63333333	1.386904762
742	4	29.5	1.453571429
743	2	0	0.45
744	2	31	1.507142857
745	8	0	0.45
746	1	38	1.757142857
747	1	31	1.507142857
748	3	31.5	1.525
749	3	0	0.45
750	1	32	1.542857143
751	2	32	1.542857143
752	3	0	0.45
753	1	32	1.542857143
754	1	32	1.542857143
755	3	0	0.45
756	1	32	1.542857143
757	1	0	0.45
758	1	32	1.542857143
759	8	33.125	1.583035714
760	3	34	1.614285714
761	3	0	0.45
762	1	35	1.65
763	1	0	0.45
764	2	35	1.65
765	2	36	1.685714286
766	2	0	0.45
767	1	36	1.685714286
768	1	36	1.685714286
769	1	0	0.45
770	1	36	1.685714286
771	5	36	1.685714286
772	2	35	1.65
773	1	0	0.45
774	1	34	1.614285714
775	1	34	1.614285714
776	1	0	0.45
777	2	32.75	1.569642857
778	1	32	1.542857143
779	1	0	0.45
780	1	32	1.542857143
781	1	0	0.45
782	2	32.75	1.569642857
783	2	34	1.614285714
784	2	0	0.45
785	1	35	1.65
786	4	34	1.614285714
787	4	0	0.45
788	1	34	1.614285714
789	3	35	1.65
790	3	0	0.45
791	1	35	1.65
792	2	35	1.65
793	2	0	0.45
794	1	34	1.614285714
795	1	34	1.614285714
796	2	0	0.45
797	1	0	0.45
798	1	33	1.578571429
799	1	33	1.578571429
800	1	33	1.578571429
801	1	0	0.45
802	1	0	0.45
803	1	33	1.578571429
804	3	32.66666667	1.566666667
805	1	0	0.45
806	1	0	0.45
807	1	0	0.45
808	1	0	0.45
809	1	0	0.45
810	1	33	1.578571429
811	1	34	1.614285714
812	1	0	0.45
813	1	0	0.45
814	3	34	1.614285714
815	1	0	0.45
816	1	33	1.578571429
817	1	0	0.45
818	1	33	1.578571429
819	1	33	1.578571429
820	5	0	0.45
821	4	33	1.578571429
822	1	32	1.542857143
823	8	34.0625	1.616517857
824	3	2	0.4714285714
825	9	0	0.45
826	1	34	1.614285714
827	2	0	0.45
828	2	33	1.578571429
829	1	33	1.578571429
830	1	33	1.578571429
831	1	0	0.45
832	17	32.88235294	1.574369748
833	111	0.518018018	0.45
834	2	33	1.578571429
835	4	0	0.45
836	30	0	0.45
837	307	0.9576547231	0.45
838	21	4.428571429	0.5581632653
839	10	0	0.45
840	3	0	0.45
841	6	0	0.45
842	1	0	0.45
843	8	35	1.65
844	2	0	0.45
845	1	0	0.45
846	21	0	0.45
847	1	0	0.45
848	4	35	1.65
849	26	39	1.792857143
850	6	0	0.45
851	2	0	0.45
852	6	0	0.45
853	8	0	0.45
854	2	0	0.45
855	88	0.375	0.45
856	32	0	0.45
857	2	0	0.45
858	85	0	0.45
859	2	0	0.45
860	1	0	0.45
861	1	0	0.45
862	1	0	0.45
863	2	0	0.45
864	2	0	0.45
865	1	0	0.45
866	1	0	0.45
867	1	0	0.45
868	24	0.6041666667	0.45
869	1	2	0.4714285714
870	1	0	0.45
871	1	2	0.4714285714
872	1	2	0.4714285714
873	1	0	0.45
874	1	2	0.4714285714
875	1	2	0.4714285714
876	1	0	0.45
877	51	2.980392157	0.506442577
878	2	0	0.45
879	1	38	1.757142857
880	1	39	1.792857143
881	2	0	0.45
882	2	39	1.792857143
883	2	0	0.45
884	20	0	0.45
885	1	0	0.45
886	23	40.06521739	1.830900621
887	2	0	0.45
888	3	37	1.721428571
889	1	36	1.685714286
890	11	0	0.45
891	1	36	1.685714286
892	1	36	1.685714286
893	1	36	1.685714286
894	1	0	0.45
895	8	36	1.685714286
896	2	35	1.65
897	5	0	0.45
898	5	33.4	1.592857143
899	1	33	1.578571429
900	2	0	0.45
901	2	32.75	1.569642857
902	1	32	1.542857143
903	5	0	0.45
904	1	32	1.542857143
905	1	8	0.6857142857
906	1	8	0.6857142857
907	4	32	1.542857143
908	30	34.33333333	1.626190476
909	1	37	1.721428571
910	23	35.76086957	1.677173913
911	1	2	0.4714285714
912	2	20	1.114285714
913	2	34	1.614285714
914	19	37.07894737	1.72424812
915	3	35	1.65
916	107	31.6635514	1.530841121
917	6	0	0.45
918	6	37	1.721428571
919	115	38.84347826	1.787267081
920	1	37	1.721428571
921	1	36	1.685714286
922	2	1	0.45
923	1	0	0.45
924	1	34	1.614285714
925	3	35	1.65
926	3	0	0.45
927	20	35.075	1.652678571
928	3	32.33333333	1.554761905
929	3	0	0.45
930	1	34	1.614285714
931	1	34	1.614285714
932	1	0	0.45
933	192	25.15104167	1.298251488
934	3	0	0.45
935	3	28.5	1.417857143
936	1	9	0.7214285714
937	5	0	0.45
938	5	7.5	0.6678571429
939	101	7.128712871	0.6545968882
940	50	0	0.45
941	24	8.25	0.6946428571
942	8	0	0.45
943	8	7.4375	0.665625
944	2	5	0.5785714286
945	1	0	0.45
946	1	5	0.5785714286
947	123	9.906504065	0.7538037166
948	2	3	0.5071428571
949	1	2	0.4714285714
950	1	0	0.45
951	1	2	0.4714285714
952	49	0	0.45
953	1	21	1.15
954	1	21	1.15
955	1	0	0.45
956	2	20	1.114285714
957	50	22.24	1.194285714
958	1	0	0.45
959	12	21.5	1.167857143
960	1	0	0.45
961	1	21	1.15
962	9	0	0.45
963	9	22.38888889	1.199603175
964	1	22	1.185714286
965	5	23	1.221428571
966	5	0	0.45
967	1	22	1.185714286
968	2	22	1.185714286
969	2	0	0.45
970	102	19.13235294	1.083298319
971	107	17.49065421	1.024666222
972	1	0	0.45
973	1	13	0.8642857143
974	1	13	0.8642857143
975	1	0	0.45
976	1	13	0.8642857143
977	278	7.507194245	0.6681140802
978	2	0	0.45
979	4	0	0.45
980	36	29.77777778	1.463492064
981	1	11	0.7928571429
982	1	25	1.292857143
983	26	41.40384615	1.878708791
984	1	1	0.45
985	1	47	2.078571429
986	11	49	2.15
987	1	0	0.45
988	1	47	2.078571429
989	5	47	2.078571429
990	2	0	0.45
991	27	54	2.328571429
992	1	52	2.257142857
993	2	52	2.257142857
994	1	52	2.257142857
995	1	0	0.45
996	1	53	2.292857143
997	1	1	0.45
998	1	47	2.078571429
999	1	44	1.971428571
1000	1	43	1.935714286
1001	1	70	2.9
1002	1	25	1.292857143
1003	1	45	2.007142857
1004	2	70	2.9
1005	1	24	1.257142857
1006	1	45	2.007142857
1007	2	68	2.828571429
1008	4	24	1.257142857
1009	27	79.51851852	3.23994709
1010	1	0	0.45
1011	3	77	3.15
1012	3	0	0.45
1013	3	77	3.15
1014	2	77	3.15
1015	3	0	0.45
1016	3	78	3.185714286
1017	22	72.45454545	2.987662337
1018	1	73	3.007142857
1019	1	0	0.45
1020	9	72	2.971428571
1021	1	1	0.45
1022	1	72	2.971428571
1023	13	71.23076923	2.943956044
1024	2	0	0.45
1025	2	69	2.864285714
1026	487	0.03388090349	0.45
1027	15	66.53333333	2.776190476
1028	1	69	2.864285714
1029	1	0	0.45
1030	2	71.25	2.944642857
1031	1	72	2.971428571
1032	1	0	0.45
1033	1	0	0.45
1034	1	72	2.971428571
1035	4	71	2.935714286
1036	1	0	0.45
1037	41	69.34146341	2.876480836
1038	2	2	0.4714285714
1039	1	71	2.935714286
1040	1	0	0.45
1041	3	70.66666667	2.923809524
1042	15	0	0.45
1043	78	0	0.45
1044	15	69.93333333	2.897619047
1045	35	2.657142857	0.4948979592
1046	1	0	0.45
1047	1	0	0.45
1048	11	0	0.45
1049	4	0	0.45
1050	4	0	0.45
1051	4	0	0.45
1052	4	0	0.45
1053	7	0	0.45
1054	3	0	0.45
1055	1	0	0.45
1056	3	0	0.45
1057	3	0	0.45
1058	1	0	0.45
1059	3	0	0.45
1060	3	0	0.45
1061	1	0	0.45
1062	1	0	0.45
1063	1	0	0.45
1064	3	0	0.45
1065	2	0	0.45
1066	1	0	0.45
1067	3	57.33333333	2.447619047
1068	2	0	0.45
1069	1	27	1.364285714
1070	3	0	0.45
1071	1	31	1.507142857
1072	50	59.64	2.53
1073	5	63.4	2.664285714
1074	5	0	0.45
1075	15	64.13333333	2.69047619
1076	3	66	2.757142857
1077	46	63.57608696	2.670574534
1078	1	0	0.45
1079	1	64	2.685714286
1080	1	64	2.685714286
1081	1	0	0.45
1082	1	64	2.685714286
1083	1	63	2.65
1084	1	0	0.45
1085	2	64	2.685714286
1086	1	0	0.45
1087	1	62	2.614285714
1088	1	62	2.614285714
1089	2	0	0.45
1090	2	60.25	2.551785714
1091	1	58	2.471428571
1092	1	58	2.471428571
1093	1	58	2.471428571
1094	1	0	0.45
1095	1	58	2.471428571
1096	1	58	2.471428571
1097	1	0	0.45
1098	2	58.5	2.489285714
1099	2	21	1.15
1100	3	27	1.364285714
1101	1	48	2.114285714
1102	3	21	1.15
1103	3	28.66666667	1.423809524
1104	1	49	2.15
1105	1	21	1.15
1106	1	28	1.4
1107	45	48.22222222	2.122222222
1108	1	0	0.45
1109	1	54	2.328571429
1110	48	54	2.328571429
1111	1	54	2.328571429
1112	1	54	2.328571429
1113	1	0	0.45
1114	1	54	2.328571429
1115	1	0	0.45
1116	2	54	2.328571429
1117	2	56	2.4
1118	1	56	2.4
1119	16	37.21875	1.729241071
1120	47	35.46808511	1.666717325
1121	423	0	0.45
1122	159	0	0.45
1123	1	0	0.45
1124	1	22	1.185714286
1125	1	0	0.45
1126	1	20	1.114285714
1127	1	21	1.15
1128	1	0	0.45
1129	1	19	1.078571429
1130	4	20.625	1.136607143
1131	2	19	1.078571429
1132	1	18	1.042857143
1133	1	0	0.45
1134	2	18	1.042857143
1135	1	18	1.042857143
1136	3	19	1.078571429
1137	2	0	0.45
1138	1	18	1.042857143
1139	1	18	1.042857143
1140	28	37.85714286	1.752040816
1141	399	0.3082706767	0.45
1142	1	0	0.45
1143	2	18	1.042857143
1144	2	18	1.042857143
1145	4	0	0.45
1146	1	18	1.042857143
1147	2	18	1.042857143
1148	2	0	0.45
1149	37	25.12162162	1.297200772
1150	7	19.57142857	1.098979592
1151	1	2	0.4714285714
1152	1	20	1.114285714
1153	1	22	1.185714286
1154	1	2	0.4714285714
1155	2	2	0.4714285714
1156	1	22	1.185714286
1157	1	22	1.185714286
1158	1	1	0.45
1159	1	0	0.45
1160	8	0	0.45
1161	8	0	0.45
1162	4	3	0.5071428571
1163	2	3	0.5071428571
1164	1	3	0.5071428571
1165	3	6.666666667	0.6380952381
1166	17	25.70588235	1.318067227
1167	27	69.12962963	2.868915344
1168	12	68.08333333	2.831547619
1169	1	69	2.864285714
1170	1	0	0.45
1171	20	68.425	2.84375
1172	4	68	2.828571429
1173	21	69.11904762	2.868537415
1174	1	0	0.45
1175	1	0	0.45
1176	1	69	2.864285714
1177	1	0	0.45
1178	1	70	2.9
1179	2	70	2.9
1180	2	0	0.45
1181	2	69	2.864285714
1182	61	67.37704918	2.806323185
1183	2	1	0.45
1184	1	59	2.507142857
1185	1	0	0.45
1186	1	59	2.507142857
1187	3	59	2.507142857
1188	1	0	0.45
1189	1	60	2.542857143
1190	2	61	2.578571429
1191	1	0	0.45
